frame_index,face_id,bbox_x1,bbox_y1,bbox_x2,bbox_y2
1320,1084,523,191,576,261
1320,1085,109,222,162,286
1320,1086,308,56,356,113
1322,1087,519,190,571,261
1322,1088,106,223,159,286
1322,1089,310,57,358,113
1324,1090,514,186,569,259
1324,1091,102,222,155,285
1324,1092,307,56,356,114
1326,1093,508,183,559,256
1326,1094,98,221,151,284
1326,1095,304,51,353,110
1328,1096,502,182,550,251
1328,1097,95,221,147,282
1328,1098,302,50,349,106
1330,1099,91,222,144,283
1330,1100,497,181,544,247
1330,1101,296,48,345,105
1332,1102,494,180,542,249
1332,1103,93,221,142,282
1332,1104,293,48,340,103
1334,1105,87,221,139,281
1334,1106,493,182,540,248
1334,1107,292,48,339,104
1336,1108,86,220,139,282
1336,1109,493,181,540,250
1336,1110,291,47,338,104
1338,1111,85,221,139,283
1338,1112,491,184,540,249
1338,1113,289,47,338,105
1340,1114,492,184,543,252
1340,1115,84,220,137,282
1340,1116,290,46,339,104
1342,1117,187,59,263,154
1344,1118,191,56,262,148
1346,1119,180,48,258,149
1348,1120,177,47,255,150
1350,1121,184,49,256,142
1352,1122,176,45,254,148
1354,1123,174,44,250,143
1354,1124,106,197,147,249
